unit,model,disease,param,value
hydrobasin_l7,RF,P.Falciparum,mtry,11
hydrobasin_l7,RF,P.Falciparum,ntree,500
hydrobasin_l7,RF,P.Vivax,mtry,11
hydrobasin_l7,RF,P.Vivax,ntree,500
hydrobasin_l7,XGBoost,P.Falciparum,nrounds,200
hydrobasin_l7,XGBoost,P.Falciparum,eta,0.2
hydrobasin_l7,XGBoost,P.Falciparum,max_depth,8
hydrobasin_l7,XGBoost,P.Vivax,nrounds,300
hydrobasin_l7,XGBoost,P.Vivax,eta,0.2
hydrobasin_l7,XGBoost,P.Vivax,max_depth,8
hydrobasin_l7,SVM,P.Falciparum,C,64
hydrobasin_l7,SVM,P.Falciparum,sigma,0.5
hydrobasin_l7,SVM,P.Vivax,C,64
hydrobasin_l7,SVM,P.Vivax,sigma,0.25
