hydroname,year,month,viv,fal,pob,pc1_clim,pc2_clim,pc3_clim,pc4_clim,pc5_clim,pc1_hidr,pc2_hidr,pc3_hidr,pc4_hidr,pc1_veg,pc2_veg,predicted_fal_rf,predicted_viv_rf,residual_fal_rf,residual_viv_rf,predicted_fal_xgb,predicted_viv_xgb,residual_fal_xgb,residual_viv_xgb,predicted_fal_svm,predicted_viv_svm,residual_fal_svm,residual_viv_svm
Hydro1,2009,1,0,0,1628,-1.3123666701455567,1.6389240741711364,-1.3577132700780434,-0.8081264723750774,-0.6006100792024442,1.4262864628148002,1.80908554683696,2.0976627200770768,0.08220625771101436,-0.8086628229048513,-0.2892380708003594,4,2,-4,-2,-1,-0,1,0,5,14,-5,-14
Hydro1,2009,2,0,0,1628,-0.7320425655585059,1.9211738387013704,-1.9377031735706416,-0.546185610179279,0.28188821589652713,1.390544979013932,-0.8250477556406028,3.056887876835689,0.26201814966582077,-1.4402767791030178,-1.048972158447326,3,5,-3,-5,2,-0,-2,0,4,9,-4,-9
Hydro1,2009,3,1,0,1628,-1.2846324441676429,2.3110477882778047,-2.432832229639488,-0.9254528526011456,-1.2242137170729657,0.5230919141997394,-0.576836216389637,2.9549158449281476,0.46819209310933985,-2.1330871317068265,-1.21075142094213,3,14,-3,-13,-6,55,6,-54,5,-3,-5,4
Hydro1,2009,4,0,0,1628,-2.0644423942378154,1.2486048730518966,-0.4604588447472625,-0.3742251818466005,-0.7106120716517309,1.7111049168724246,-0.4610577494050423,2.9113997713168036,0.1746238341067628,-1.2565107516511096,-0.5146178269184565,1,2,-1,-2,-3,-0,3,0,2,-1,-2,1
Hydro1,2009,5,0,0,1628,-2.26071005864955,1.3249784436089296,0.49957634482697,-2.4527581590785776,-0.01006428132577649,-0.1411417481552663,-0.14414404440706902,3.046247606809949,0.3130866625342325,-0.2789388060863652,0.26739325386140195,1,9,-1,-9,0,1,0,-1,4,14,-4,-14
Hydro1,2009,6,0,0,1628,-3.910475876965287,2.544116189252692,0.33627188015742737,-1.9742415119293857,-0.3426987183325101,-0.9141723830879952,-1.8576210672487243,3.2068036797012844,-0.14122467170767333,0.2577984991568598,0.8336083674800558,2,15,-2,-15,1,0,-1,0,5,-6,-5,6
Hydro1,2009,7,1,0,1628,-2.7670203484487357,1.8751020825563145,2.120359170897652,-2.00450186126617,-0.3617508349419099,-1.7319891814437671,-1.3526181726123714,2.642070472879395,-0.5546580819615059,1.133042028189015,1.628968603840207,1,5,-1,-4,-2,2,2,-1,3,-8,-3,9
Hydro1,2009,8,1,1,1628,-0.960440332066937,3.078533167473152,1.3093220375913155,-1.3974531918367068,0.8165164794443432,-2.669190769428667,-0.5739766292111477,1.9658722385353051,-0.6514106682569004,1.854208068686282,2.439684733509844,1,4,0,-3,-4,0,5,1,5,15,-4,-14
Hydro1,2009,9,1,0,1628,0.5595574708612417,3.2458183650413828,1.9587863907757537,-0.3875343934777916,-0.3106308797621651,-3.4296879279925356,1.6257306646804786,1.5777659492056808,0.5562190509099687,2.0662129346473037,2.540341271189716,1,2,-1,-1,-3,1,3,0,4,15,-4,-14
Hydro1,2009,10,0,0,1628,0.6925745935234822,3.1580545484521156,1.510214497666272,0.3058069100790275,-0.06681167104043131,-3.3059821485797265,2.4338709716500992,1.714532257983418,1.1135562130147003,1.3148052482641721,1.63189374449924,1,1,-1,-1,2,1,-2,-1,5,-1,-5,1
Hydro1,2009,11,1,0,1628,1.2844440458399844,2.96230766789464,1.1593544686880757,0.5958771817213928,-0.38094205355634503,-2.8089976331452995,1.3425155191315596,1.9477545647042596,1.282287057097247,0.9616483781481504,1.0330583003195124,1,3,-1,-2,2,1,-2,0,4,15,-4,-14
Hydro1,2009,12,0,0,1628,0.1402178165092169,2.094107845036156,0.00204182873018887,0.616301283136445,-0.4092344606799481,-1.0686859426276438,0.8535977084638895,2.115469731440463,1.092255640841192,0.11911687316051976,0.38417627233442214,2,4,-2,-4,1,0,-1,0,5,14,-5,-14
Hydro1,2010,1,1,0,1628,1.590261868824444,2.779592464001765,0.7541363819396922,0.37225294805253734,-0.9954547542703588,-2.554388958377994,-0.20839571150839972,2.2001286361106738,0.7447698216139962,-0.3927812244957777,-0.21789358547462223,2,3,-2,-2,-0,1,0,0,5,15,-5,-14
Hydro1,2010,2,1,0,1628,1.783703312402786,2.230578356723277,0.5274978855834337,-0.17782371712131517,-0.9276247742226088,0.5620977309159174,-1.3230872584717996,2.6384792399120687,1.1902896520680124,-1.2976052691139135,-1.036857603840523,2,3,-2,-2,5,1,-5,0,5,15,-5,-14
Hydro1,2010,3,1,0,1628,0.7516632318957128,2.158929310966041,-0.2199316209613439,-0.5104796843122117,-0.239816360224241,0.30631168118475327,-0.33321780634658027,2.3521652513678397,1.0954245267293985,-1.283421612859742,-1.1276136304686426,1,6,-1,-5,0,1,0,0,4,-5,-4,6
Hydro1,2010,4,1,0,1628,-0.13889914644689086,1.737806734679226,0.7237449939957293,-0.6191298731193533,-0.4971561176960893,-0.18716316528178625,-0.07026901825564502,2.3795804944288728,1.055137220853657,-0.7766118868999066,-0.4699131230049854,0,3,0,-2,1,2,-1,-1,2,-10,-2,11
Hydro1,2010,5,0,0,1628,-1.6805465881494537,2.282306025442895,0.51899622317217875,-1.2638002526680334,-0.8453704360882833,-0.7654080524806391,-0.1304702101598786,2.5576781582101833,1.019394355600111,-0.07221171777432825,0.2920970454232935,1,3,-1,-3,2,1,-2,-1,3,-2,-3,2
Hydro1,2010,6,1,0,1628,-2.360681308276885,2.1716614813928343,1.8085501385627207,-1.5109938905720224,-0.6688505842692969,-1.945721729170156,-3.7067771195055506,2.168515666592668,-1.5986725437288951,0.4602909321197315,0.8549865244358757,0,2,0,-1,-1,2,1,-1,5,-13,-5,14
