hydroname,year,month,viv,fal,pob,pc1_clim,pc2_clim,pc3_clim,pc4_clim,pc1_hidr,pc2_hidr,pc3_hidr,pc4_hidr,pc1_veg,pc2_veg,pc3_veg,predicted_fal_rf,predicted_viv_rf,residual_fal_rf,residual_viv_rf,predicted_fal_xgb,predicted_viv_xgb,residual_fal_xgb,residual_viv_xgb,predicted_fal_svm,predicted_viv_svm,residual_fal_svm,residual_viv_svm
Hydro1,2009,1,69,4,175,-0.14092047285605605,3.41602714486807,1.180824219619615,-0.533327123370727,-3.9257585934953454,0.03026849202380416,1.1873179869676798,0.48293902727697713,-2.127646892947465,-2.2661335791110835,3.2916149933787384,39,69,-35,0,24,69,-20,0,48,47,-44,22
Hydro1,2009,2,44,13,175,-0.5047804230999817,2.459677749044066,1.2632117096888142,0.07574366835186014,-2.902382313769402,-0.5863792497799252,1.145083651035955,0.4641345767289671,-0.500542520087536,-2.015821996099773,-0.11852567326774166,21,73,-8,-29,21,73,-8,-29,20,10,-7,34
Hydro1,2009,3,69,22,175,-0.7050811604105746,2.6551443506445915,0.8177980781588966,-0.638151769520418,-3.8122667132087695,-0.7017343353361366,1.1698862433000246,0.6155809907903252,-0.3741104828619915,-2.1223390239051088,-0.852084718207594,25,69,-3,0,18,69,4,0,25,77,-3,-8
Hydro1,2009,4,52,24,175,-0.01484029889584527,3.1784520838081076,2.3468198368613296,0.10420485787417574,-2.0551132662931804,-2.116727017513743,0.6079418395000471,0.04237376664078762,-0.25280427129704575,-1.935494789112176,-0.44389130858494547,35,85,-11,-33,21,91,3,-39,45,210,-21,-158
Hydro1,2009,5,25,22,175,-0.5598964033440095,1.1456717316113194,0.11427764364765494,-0.3914536524837669,-0.6990891925641874,-1.3405098811128573,0.8644032404504502,0.05206141985714757,0.4862726658702633,-1.2764772196435226,-0.0473901456449828,28,49,-6,-24,20,25,2,0,29,47,-7,-22
Hydro1,2009,6,133,104,175,0.21939782843385347,0.5564356722574366,-0.5313628272318727,0.2229005569311197,-1.2004576982949868,-1.1841211455352834,1.037287924432633,0.287804918428069,1.37421514808974,-0.438944582007432,0.6056589743752447,72,85,32,48,43,133,61,0,30,21,74,112
Hydro1,2009,7,123,40,175,-0.45584986150336904,0.4390430337658391,-0.07051959132323987,0.7826165113192696,0.5349216423982078,-0.6526931434223042,1.3787146329804894,0.46109202532534777,2.6053282915956832,0.6030742661104905,1.0358425174564647,45,109,-5,14,32,123,8,0,50,145,-10,-22
Hydro1,2009,8,86,35,175,-0.9664407404121876,-0.06130912329296485,1.1703423069716714,0.7321276564291718,1.207477872890638,-0.3872309428893791,1.437557664144706,0.5256748446197921,3.713069321552553,1.448126174227307,1.0546669443907497,35,91,0,-5,36,86,-1,0,43,65,-8,21
Hydro1,2009,9,56,27,175,-1.662807430631935,-0.269947219635013,2.2979496988553687,1.280207803178299,1.907922923116695,1.11870330995641,1.9650298016778311,0.6608927957367017,3.749229660672217,1.420077726074373,0.8642750496985887,30,79,-3,-23,20,56,7,0,19,34,8,22
Hydro1,2009,10,41,27,175,-1.824155549094943,-0.5688643649880196,1.0119671860373538,0.2151930000905748,1.6809983340333352,1.1908905495528308,1.7456663715340373,0.37047248667995497,2.536741517489901,0.33352678464433577,0.23123741206962137,27,51,0,-10,22,41,5,0,31,19,-4,22
